net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,B1,Sch 2,R2,B2,Larger Ratio/Smaller Ratio,Preference for Smaller Ratio
1,0,0,0.1,VR 160,1,229,VR 160,2,193,1,0.542654028
1,1,0,0.1,VR 160,1,194,VR 160,4,224,1,0.464114833
1,2,0,0.1,VR 160,1,187,VR 160,2,215,1,0.465174129
1,3,0,0.1,VR 5,3,204,VR 5,1,187,1,0.52173913
1,4,0,0.1,VR 5,34,177,VR 5,39,212,1,0.455012853
1,5,0,0.1,VR 5,29,187,VR 5,34,202,1,0.480719794
1,6,0,0.1,VR 5,33,197,VR 5,27,208,1,0.486419753
1,7,0,0.1,VR 160,25,193,VR 160,41,229,1,0.457345972
1,8,0,0.1,VR 160,0,176,VR 160,1,214,1,0.451282051
1,9,0,0.1,VR 160,1,196,VR 160,0,175,1,0.528301887
1,10,0,0.1,VR 160,0,183,VR 160,2,230,1,0.443099274
1,11,0,0.1,VR 160,1,165,VR 160,1,175,1,0.485294118
