net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,B1,Sch 2,R2,B2,Larger Ratio/Smaller Ratio,Preference for Smaller Ratio
1,6,0,0.1,VR 5,51,252,VR 5,37,211,1.0,0.5442764578833693
1,10,0,0.1,VR 160,4,253,VR 160,3,218,1.0,0.5371549893842887
1,3,0,0.1,VR 5,0,198,VR 5,0,216,1.0,0.4782608695652174
1,5,0,0.1,VR 5,39,245,VR 5,38,206,1.0,0.5432372505543237
1,1,0,0.1,VR 160,0,183,VR 160,1,178,1.0,0.5069252077562327
1,2,0,0.1,VR 160,1,193,VR 160,1,197,1.0,0.4948717948717949
1,4,0,0.1,VR 5,38,236,VR 5,43,237,1.0,0.4989429175475687
1,0,0,0.1,VR 160,1,191,VR 160,1,180,1.0,0.5148247978436657
1,7,0,0.1,VR 160,47,252,VR 160,37,234,1.0,0.5185185185185185
1,9,0,0.1,VR 160,1,186,VR 160,1,205,1.0,0.47570332480818417
1,11,0,0.1,VR 160,2,183,VR 160,0,172,1.0,0.5154929577464789
1,8,0,0.1,VR 160,2,208,VR 160,0,193,1.0,0.5187032418952618
