net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,B1,Sch 2,R2,B2,Larger Ratio/Smaller Ratio,Preference for Smaller Ratio,Max Preference
3,0,0,0.1,VR 160,3,218,VR 160,0,197,1,0.525301205,0.525301205
3,1,0,0.1,VR 160,1,161,VR 160,0,207,1,0.4375,0.5625
3,2,0,0.1,VR 160,0,239,VR 160,1,213,1,0.528761062,0.528761062
3,3,0,0.1,VR 160,3,205,VR 160,4,236,1,0.464852608,0.535147392
3,4,0,0.1,VR 5,85,478,VR 5,101,541,1,0.469087341,0.530912659
3,5,0,0.1,VR 5,179,858,VR 5,85,537,1,0.615053763,0.615053763
3,6,0,0.1,VR 5,44,217,VR 5,184,1077,1,0.167697063,0.832302937
3,7,0,0.1,VR 5,57,332,VR 5,164,850,1,0.280879865,0.719120135
3,8,0,0.1,VR 160,0,186,VR 160,1,193,1,0.490765172,0.509234828
3,9,0,0.1,VR 160,0,164,VR 160,2,194,1,0.458100559,0.541899441
3,10,0,0.1,VR 160,1,200,VR 160,2,210,1,0.487804878,0.512195122
3,11,0,0.1,VR 160,1,212,VR 160,4,209,1,0.503562945,0.503562945
3,0,1,0.1,VR 160,2,190,VR 160,3,215,1,0.469135802,0.530864198
3,1,1,0.1,VR 160,1,228,VR 160,2,199,1,0.533957845,0.533957845
3,2,1,0.1,VR 160,0,175,VR 160,1,198,1,0.469168901,0.530831099
3,3,1,0.1,VR 160,0,195,VR 160,2,222,1,0.467625899,0.532374101
3,4,1,0.1,VR 5,73,411,VR 5,149,735,1,0.358638743,0.641361257
3,5,1,0.1,VR 5,42,229,VR 5,273,1367,1,0.143483709,0.856516291
3,6,1,0.1,VR 5,131,761,VR 5,54,326,1,0.700091996,0.700091996
3,7,1,0.1,VR 5,73,416,VR 5,173,956,1,0.303206997,0.696793003
3,8,1,0.1,VR 160,2,215,VR 160,0,238,1,0.474613687,0.525386313
3,9,1,0.1,VR 160,1,185,VR 160,0,196,1,0.485564304,0.514435696
3,10,1,0.1,VR 160,1,185,VR 160,1,216,1,0.461346633,0.538653367
3,11,1,0.1,VR 160,2,212,VR 160,1,209,1,0.503562945,0.503562945
3,0,2,0.1,VR 160,2,180,VR 160,0,210,1,0.461538462,0.538461538
3,1,2,0.1,VR 160,0,169,VR 160,1,210,1,0.44591029,0.55408971
3,2,2,0.1,VR 160,1,243,VR 160,0,183,1,0.570422535,0.570422535
3,3,2,0.1,VR 160,3,202,VR 160,1,205,1,0.496314496,0.503685504
3,4,2,0.1,VR 5,112,596,VR 5,109,602,1,0.497495826,0.502504174
3,5,2,0.1,VR 5,94,575,VR 5,84,503,1,0.533395176,0.533395176
3,6,2,0.1,VR 5,136,772,VR 5,50,339,1,0.694869487,0.694869487
3,7,2,0.1,VR 5,69,377,VR 5,170,992,1,0.275383492,0.724616508
3,8,2,0.1,VR 160,1,193,VR 160,4,228,1,0.458432304,0.541567696
3,9,2,0.1,VR 160,0,223,VR 160,2,193,1,0.536057692,0.536057692
3,10,2,0.1,VR 160,2,225,VR 160,1,190,1,0.542168675,0.542168675
3,11,2,0.1,VR 160,0,186,VR 160,0,200,1,0.481865285,0.518134715
3,0,3,0.1,VR 160,1,224,VR 160,2,206,1,0.520930233,0.520930233
3,1,3,0.1,VR 160,4,238,VR 160,0,179,1,0.570743405,0.570743405
3,2,3,0.1,VR 160,1,191,VR 160,2,202,1,0.486005089,0.513994911
3,3,3,0.1,VR 160,2,195,VR 160,1,196,1,0.498721228,0.501278772
3,4,3,0.1,VR 5,169,808,VR 5,109,588,1,0.578796562,0.578796562
3,5,3,0.1,VR 5,103,477,VR 5,238,1152,1,0.29281768,0.70718232
3,6,3,0.1,VR 5,59,363,VR 5,185,969,1,0.272522523,0.727477477
3,7,3,0.1,VR 5,185,1006,VR 5,85,421,1,0.704975473,0.704975473
3,8,3,0.1,VR 160,1,190,VR 160,0,181,1,0.51212938,0.51212938
3,9,3,0.1,VR 160,1,186,VR 160,0,222,1,0.455882353,0.544117647
3,10,3,0.1,VR 160,2,235,VR 160,1,203,1,0.53652968,0.53652968
3,11,3,0.1,VR 160,1,166,VR 160,4,221,1,0.428940568,0.571059432
3,0,4,0.1,VR 160,1,201,VR 160,1,206,1,0.493857494,0.506142506
3,1,4,0.1,VR 160,1,222,VR 160,1,200,1,0.526066351,0.526066351
