net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,B1,Sch 2,R2,B2,Larger Ratio/Smaller Ratio,Preference for Smaller Ratio
-1,0,0,,VR 160,2,247,VR 160,3,293,1.0,0.45740740740740743
-1,1,0,,VR 160,1,266,VR 160,0,239,1.0,0.5267326732673268
-1,2,0,,VR 160,2,279,VR 160,3,362,1.0,0.43525741029641185
-1,3,0,,VR 5,0,212,VR 5,1,240,1.0,0.4690265486725664
-1,4,0,,VR 5,144,855,VR 5,157,891,1.0,0.4896907216494845
-1,5,0,,VR 5,140,868,VR 5,137,844,1.0,0.5070093457943925
-1,6,0,,VR 5,194,984,VR 5,128,748,1.0,0.5681293302540416
-1,7,0,,VR 160,123,623,VR 160,189,1011,1.0,0.3812729498164015
-1,8,0,,VR 160,0,208,VR 160,1,213,1.0,0.49406175771971494
-1,9,0,,VR 160,2,269,VR 160,0,188,1.0,0.5886214442013129
-1,10,0,,VR 160,1,256,VR 160,1,237,1.0,0.5192697768762677
-1,11,0,,VR 160,2,265,VR 160,0,177,1.0,0.5995475113122172
