net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,B1,Sch 2,R2,B2,Larger Ratio/Smaller Ratio,Preference for Smaller Ratio,Max Preference
3,0,0,0.1,VR 2,904,2265,VR 2,20,58,1.0,0.9750322858372794,0.9750322858372794
3,1,0,0.1,VR 2,942,2288,VR 2,0,6,1.0,0.997384481255449,0.997384481255449
3,2,0,0.1,VR 2,808,1951,VR 2,65,156,1.0,0.9259610821072615,0.9259610821072615
3,3,0,0.1,VR 2,2,8,VR 2,812,2070,1.0,0.0038498556304138597,0.9961501443695862
3,4,0,0.1,VR 3,17,67,VR 3,448,1697,1.0,0.03798185941043084,0.9620181405895691
3,5,0,0.1,VR 3,481,1534,VR 3,118,456,1.0,0.770854271356784,0.770854271356784
3,6,0,0.1,VR 3,290,1080,VR 3,226,786,1.0,0.5787781350482315,0.5787781350482315
3,7,0,0.1,VR 3,549,1962,VR 3,1,12,1.0,0.993920972644377,0.993920972644377
3,8,0,0.1,VR 4,286,1268,VR 4,7,62,1.0,0.9533834586466166,0.9533834586466166
3,9,0,0.1,VR 4,104,439,VR 4,278,1242,1.0,0.2611540749553837,0.7388459250446163
3,10,0,0.1,VR 4,89,505,VR 4,214,1018,1.0,0.3315824031516743,0.6684175968483257
3,11,0,0.1,VR 4,63,288,VR 4,302,1386,1.0,0.17204301075268819,0.8279569892473119
3,12,0,0.1,VR 5,110,589,VR 5,112,618,1.0,0.487986743993372,0.512013256006628
3,13,0,0.1,VR 5,163,914,VR 5,80,418,1.0,0.6861861861861862,0.6861861861861862
3,14,0,0.1,VR 5,161,894,VR 5,100,591,1.0,0.602020202020202,0.602020202020202
3,15,0,0.1,VR 5,161,885,VR 5,101,500,1.0,0.6389891696750902,0.6389891696750902
3,16,0,0.1,VR 10,32,344,VR 10,36,371,1.0,0.4811188811188811,0.5188811188811189
3,17,0,0.1,VR 10,30,317,VR 10,33,359,1.0,0.46893491124260356,0.5310650887573964
3,18,0,0.1,VR 10,44,494,VR 10,19,241,1.0,0.672108843537415,0.672108843537415
3,19,0,0.1,VR 10,33,298,VR 10,51,455,1.0,0.39575033200531207,0.6042496679946879
3,20,0,0.1,VR 20,21,329,VR 20,11,207,1.0,0.6138059701492538,0.6138059701492538
3,21,0,0.1,VR 20,14,254,VR 20,17,301,1.0,0.45765765765765765,0.5423423423423424
3,22,0,0.1,VR 20,15,285,VR 20,13,277,1.0,0.5071174377224199,0.5071174377224199
3,23,0,0.1,VR 20,17,276,VR 20,17,296,1.0,0.4825174825174825,0.5174825174825175
3,24,0,0.1,VR 40,4,237,VR 40,5,226,1.0,0.5118790496760259,0.5118790496760259
3,25,0,0.1,VR 40,5,215,VR 40,5,215,1.0,0.5,0.5
3,26,0,0.1,VR 40,4,191,VR 40,3,220,1.0,0.46472019464720193,0.5352798053527981
3,27,0,0.1,VR 40,6,219,VR 40,1,220,1.0,0.4988610478359909,0.5011389521640092
3,28,0,0.1,VR 80,5,185,VR 80,3,233,1.0,0.44258373205741625,0.5574162679425837
3,29,0,0.1,VR 80,3,238,VR 80,2,230,1.0,0.5085470085470085,0.5085470085470085
3,30,0,0.1,VR 80,3,216,VR 80,4,216,1.0,0.5,0.5
3,31,0,0.1,VR 80,2,236,VR 80,1,211,1.0,0.5279642058165548,0.5279642058165548
3,32,0,0.1,VR 160,3,239,VR 160,2,223,1.0,0.5173160173160173,0.5173160173160173
3,33,0,0.1,VR 160,0,199,VR 160,3,210,1.0,0.48655256723716384,0.5134474327628362
3,34,0,0.1,VR 160,0,179,VR 160,0,207,1.0,0.4637305699481865,0.5362694300518135
3,35,0,0.1,VR 160,0,184,VR 160,0,209,1.0,0.4681933842239186,0.5318066157760815
3,36,0,0.1,VR 320,0,179,VR 320,1,220,1.0,0.44862155388471175,0.5513784461152882
3,37,0,0.1,VR 320,1,212,VR 320,0,179,1.0,0.5421994884910486,0.5421994884910486
3,38,0,0.1,VR 320,0,197,VR 320,0,218,1.0,0.4746987951807229,0.5253012048192771
3,39,0,0.1,VR 320,1,162,VR 320,0,219,1.0,0.4251968503937008,0.5748031496062992
3,40,0,0.1,VR 640,0,206,VR 640,1,215,1.0,0.48931116389548696,0.5106888361045131
3,41,0,0.1,VR 640,0,226,VR 640,1,204,1.0,0.5255813953488372,0.5255813953488372
3,42,0,0.1,VR 640,0,196,VR 640,0,219,1.0,0.472289156626506,0.5277108433734939
3,43,0,0.1,VR 640,1,200,VR 640,0,183,1.0,0.5221932114882507,0.5221932114882507
