net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,B1,Sch 2,R2,B2,Larger Ratio/Smaller Ratio,Preference for Smaller Ratio,Key
1,0,0,0.1,VR 160,0,217,VR 160,0,199,1.0,0.5216346153846154,0 0
1,1,0,0.1,VR 160,2,216,VR 160,1,195,1.0,0.5255474452554745,1 0
1,2,0,0.1,VR 160,0,174,VR 160,5,238,1.0,0.4223300970873786,2 0
1,3,0,0.1,VR 5,0,194,VR 5,1,190,1.0,0.5052083333333334,3 0
1,4,0,0.1,VR 5,42,230,VR 5,44,275,1.0,0.45544554455445546,4 0
1,5,0,0.1,VR 5,27,186,VR 5,55,316,1.0,0.3705179282868526,5 0
1,6,0,0.1,VR 5,48,287,VR 5,37,223,1.0,0.5627450980392157,6 0
1,7,0,0.1,VR 160,53,298,VR 160,54,298,1.0,0.5,7 0
1,8,0,0.1,VR 160,0,184,VR 160,2,214,1.0,0.4623115577889447,8 0
1,9,0,0.1,VR 160,0,189,VR 160,3,219,1.0,0.4632352941176471,9 0
1,10,0,0.1,VR 160,1,206,VR 160,1,185,1.0,0.5268542199488491,10 0
1,11,0,0.1,VR 2,0,178,VR 2,2,234,1.0,0.4320388349514563,11 0
1,12,0,0.1,VR 2,675,1629,VR 2,1,7,1.0,0.9957212713936431,12 0
