net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,B1,Sch 2,R2,B2,Larger Ratio/Smaller Ratio,Preference for Smaller Ratio,Max Preference,,
1,6,12,0.1,VR 5,36,196,VR 5,72,327,1,0.374760994,0.625239006,,
1,6,6,0.1,VR 5,40,225,VR 5,65,287,1,0.439453125,0.560546875,,
1,6,7,0.1,VR 5,49,256,VR 5,40,229,1,0.527835052,0.527835052,,
1,6,5,0.1,VR 5,53,262,VR 5,53,292,1,0.472924188,0.527075812,,
1,7,4,0.1,VR 5,39,191,VR 5,90,399,1,0.323728814,0.676271186,,
1,7,1,0.1,VR 5,44,262,VR 5,52,286,1,0.47810219,0.52189781,,
1,7,14,0.1,VR 5,45,261,VR 5,78,384,1,0.404651163,0.595348837,,
1,7,13,0.1,VR 5,57,297,VR 5,41,254,1,0.539019964,0.539019964,,
1,7,11,0.1,VR 5,36,242,VR 5,44,264,1,0.47826087,0.52173913,,
1,7,15,0.1,VR 5,50,290,VR 5,36,209,1,0.581162325,0.581162325,,
1,7,8,0.1,VR 5,74,351,VR 5,51,288,1,0.549295775,0.549295775,,
1,7,9,0.1,VR 5,53,283,VR 5,44,256,1,0.525046382,0.525046382,,
1,7,10,0.1,VR 5,67,339,VR 5,47,272,1,0.554828151,0.554828151,,
1,7,0,0.1,VR 5,54,291,VR 5,37,221,1,0.568359375,0.568359375,,
1,7,3,0.1,VR 5,58,279,VR 5,53,285,1,0.494680851,0.505319149,,
1,7,12,0.1,VR 5,44,237,VR 5,46,257,1,0.479757085,0.520242915,,
1,7,2,0.1,VR 5,59,317,VR 5,60,307,1,0.508012821,0.508012821,,
1,7,6,0.1,VR 5,66,338,VR 5,52,280,1,0.546925566,0.546925566,,
1,7,7,0.1,VR 5,58,303,VR 5,63,342,1,0.469767442,0.530232558,,
1,7,5,0.1,VR 5,49,268,VR 5,54,294,1,0.476868327,0.523131673,,
1,8,4,0.1,VR 160,1,207,VR 160,0,222,1,0.482517483,0.517482517,,
1,8,1,0.1,VR 160,2,216,VR 160,0,197,1,0.523002421,0.523002421,,
1,8,14,0.1,VR 160,0,191,VR 160,1,203,1,0.484771574,0.515228426,,
1,8,13,0.1,VR 160,1,204,VR 160,1,211,1,0.491566265,0.508433735,,
1,8,11,0.1,VR 160,1,189,VR 160,1,188,1,0.50132626,0.50132626,,
1,8,15,0.1,VR 160,3,189,VR 160,2,225,1,0.456521739,0.543478261,,
1,8,9,0.1,VR 160,1,230,VR 160,3,222,1,0.508849558,0.508849558,,
1,8,8,0.1,VR 160,3,210,VR 160,0,178,1,0.541237113,0.541237113,,
1,8,10,0.1,VR 160,4,221,VR 160,4,192,1,0.535108959,0.535108959,,
1,8,3,0.1,VR 160,1,176,VR 160,2,214,1,0.451282051,0.548717949,,
1,8,0,0.1,VR 160,0,199,VR 160,2,188,1,0.514211886,0.514211886,,
1,8,12,0.1,VR 160,1,200,VR 160,1,220,1,0.476190476,0.523809524,,
1,8,2,0.1,VR 160,5,238,VR 160,1,191,1,0.554778555,0.554778555,,
1,8,6,0.1,VR 160,0,203,VR 160,0,211,1,0.490338164,0.509661836,,
1,8,7,0.1,VR 160,0,193,VR 160,1,197,1,0.494871795,0.505128205,,
1,8,5,0.1,VR 160,1,230,VR 160,2,230,1,0.5,0.5,,
1,9,4,0.1,VR 160,1,225,VR 160,2,187,1,0.546116505,0.546116505,,
1,9,1,0.1,VR 160,1,186,VR 160,0,200,1,0.481865285,0.518134715,,
1,9,14,0.1,VR 160,0,181,VR 160,4,237,1,0.433014354,0.566985646,,
1,9,11,0.1,VR 160,0,188,VR 160,2,189,1,0.49867374,0.50132626,,
1,9,13,0.1,VR 160,2,192,VR 160,0,184,1,0.510638298,0.510638298,,
1,9,15,0.1,VR 160,2,180,VR 160,2,212,1,0.459183673,0.540816327,,
1,9,3,0.1,VR 160,3,220,VR 160,0,203,1,0.520094563,0.520094563,,
1,9,9,0.1,VR 160,3,196,VR 160,2,195,1,0.501278772,0.501278772,,
1,9,8,0.1,VR 160,0,204,VR 160,2,229,1,0.47113164,0.52886836,,
1,9,10,0.1,VR 160,0,189,VR 160,3,204,1,0.480916031,0.519083969,,
1,9,0,0.1,VR 160,4,226,VR 160,1,190,1,0.543269231,0.543269231,,
1,9,12,0.1,VR 160,1,184,VR 160,2,217,1,0.458852868,0.541147132,,
