net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,B1,Sch 2,R2,B2,Larger Ratio/Smaller Ratio,Preference for Smaller Ratio,Key
1,13,0,0.1,VR 3,722,2548,VR 9,44,398,3.0,0.8649015614392397,13 0
1,11,0,0.1,VR 3,461,1735,VR 4.5,216,1048,1.5,0.6234279554437657,11 0
1,12,0,0.1,VR 3,787,2768,VR 6,59,403,2.0,0.8729107537054557,12 0
1,15,0,0.1,VR 3,784,2837,VR 15,14,307,5.0,0.90235368956743,15 0
1,10,0,0.1,VR 3,804,2722,VR 3.75,130,616,1.25,0.8154583582983823,10 0
1,9,0,0.1,VR 3,612,2156,VR 3.3,264,1014,1.0999999999999999,0.6801261829652997,9 0
1,0,0,0.1,VR 2,1098,2846,VR 2.2,815,2263,1.1,0.5570561753767861,0 0
1,8,0,0.1,VR 2,2099,5460,VR 40,1,117,20.0,0.9790209790209791,8 0
1,4,0,0.1,VR 2,2234,5732,VR 6,16,132,3.0,0.9774897680763983,4 0
1,1,0,0.1,VR 2,1707,4239,VR 2.5,417,1228,1.25,0.7753795500274373,1 0
1,6,0,0.1,VR 2,2014,5294,VR 10,11,165,5.0,0.9697746840080601,6 0
1,5,0,0.1,VR 2,2038,5297,VR 8,30,201,4.0,0.9634412513641324,5 0
1,14,0,0.1,VR 3,684,2478,VR 12,39,428,4.0,0.8527185134205093,14 0
1,2,0,0.1,VR 2,1899,4875,VR 3,157,537,1.5,0.9007760532150776,2 0
1,7,0,0.1,VR 2,2121,5491,VR 20,3,136,10.0,0.9758308157099698,7 0
1,3,0,0.1,VR 2,2402,5919,VR 4,50,230,2.0,0.9625955439908929,3 0
1,16,0,0.1,VR 3,879,3096,VR 30,6,278,10.0,0.917605216360403,16 0
1,18,0,0.1,VR 5,198,1105,VR 5.5,161,984,1.1,0.5289612254667305,18 0
1,19,0,0.1,VR 5,265,1327,VR 6.25,100,749,1.25,0.6392100192678227,19 0
1,20,0,0.1,VR 5,177,1072,VR 7.5,101,881,1.5,0.5488991295442909,20 0
1,17,0,0.1,VR 3,940,3215,VR 60,3,273,20.0,0.9217316513761468,17 0
1,22,0,0.1,VR 5,240,1299,VR 15,40,633,3.0,0.672360248447205,22 0
1,23,0,0.1,VR 5,239,1383,VR 20,18,596,4.0,0.6988377968671046,23 0
1,25,0,0.1,VR 5,276,1445,VR 50,13,585,10.0,0.7118226600985221,25 0
1,21,0,0.1,VR 5,250,1279,VR 10,62,699,2.0,0.6466127401415571,21 0
1,24,0,0.1,VR 5,230,1357,VR 25,22,592,5.0,0.6962544894817855,24 0
1,26,0,0.1,VR 5,322,1603,VR 100,2,451,20.0,0.7804284323271665,26 0
1,29,0,0.1,VR 10,82,904,VR 15,45,745,1.5,0.5482110369921165,29 0
1,28,0,0.1,VR 10,86,898,VR 12.5,60,781,1.25,0.5348421679571174,28 0
1,27,0,0.1,VR 10,84,869,VR 11,73,829,1.1,0.5117785630153121,27 0
1,30,0,0.1,VR 10,81,889,VR 20,27,799,2.0,0.5266587677725119,30 0
1,31,0,0.1,VR 10,113,1082,VR 30,18,647,3.0,0.6257952573742047,31 0
1,34,0,0.1,VR 10,97,1058,VR 100,6,605,10.0,0.6361996392062538,34 0
1,32,0,0.1,VR 10,122,1113,VR 40,12,616,4.0,0.6437246963562753,32 0
1,33,0,0.1,VR 10,92,1009,VR 50,20,731,5.0,0.5798850574712644,33 0
1,36,0,0.1,VR 15,51,844,VR 16.5,48,842,1.1,0.5005931198102017,36 0
1,40,0,0.1,VR 15,69,976,VR 45,16,711,3.0,0.5785417901600475,40 0
1,35,0,0.1,VR 10,88,999,VR 200,3,716,20.0,0.5825072886297377,35 0
1,41,0,0.1,VR 15,57,929,VR 60,7,779,4.0,0.5439110070257611,41 0
1,42,0,0.1,VR 15,54,889,VR 75,7,777,5.0,0.5336134453781513,42 0
1,44,0,0.1,VR 15,61,972,VR 300,6,662,20.0,0.594859241126071,44 0
1,43,0,0.1,VR 15,59,912,VR 150,3,653,10.0,0.5827476038338658,43 0
1,37,0,0.1,VR 15,47,791,VR 18.75,49,890,1.25,0.47055324211778704,37 0
1,39,0,0.1,VR 15,43,845,VR 30,23,805,2.0,0.5121212121212121,39 0
1,38,0,0.1,VR 15,60,876,VR 22.5,38,807,1.5,0.5204991087344029,38 0
